,imdbID,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,rating_cat,genres_code
73550,tt0485909,Gamers,Gamers,2006.0,84.0,Comedy,5.3,2275,middle,5
7368,tt0028592,Atlantic Flight,Atlantic Flight,1937.0,59.0,Action,4.6,93,middle,0
115409,tt2047890,The Woodcarver,The Woodcarver,2012.0,96.0,Drama,6.7,493,middle,8
44364,tt0119228,Grind,Grind,1997.0,96.0,Romance,5.4,454,middle,20
114516,tt1997618,Another Superhero Movie,Another Superhero Movie,2011.0,75.0,Comedy,3.3,507,low,5
63444,tt0316062,Johnny,Johnny,2003.0,180.0,Action,5.4,1217,middle,0
64815,tt0338418,"Old, New, Borrowed and Blue","Se til venstre, der er en svensker",2003.0,90.0,Romance,5.9,962,middle,20
86028,tt1152827,Super Hybrid,Super Hybrid,2010.0,94.0,Sci-Fi,4.1,1910,middle,21
163406,tt8417346,Magnolia Flowers,Magnolia Flowers,2021.0,65.0,Drama,8.6,20,high,8
98747,tt1438216,Oranges and Sunshine,Oranges and Sunshine,2010.0,105.0,History,7.1,5859,high,13
127481,tt26742554,"Garden City, Kansas","Garden City, Kansas",2023.0,78.0,Documentary,5.8,11,middle,7
44297,tt0119094,Face/Off,Face/Off,1997.0,138.0,Action,7.3,396251,high,0
33096,tt0086969,Birdy,Birdy,1984.0,120.0,Drama,7.2,24582,high,8
38775,tt0102535,Night of the Warrior,Night of the Warrior,1991.0,99.0,Action,3.6,371,middle,0
138344,tt3800560,Tempestad,Tempestad,2016.0,105.0,Documentary,7.8,848,high,7
64511,tt0331871,Ships of Hope,Los barcos de la esperanza,2000.0,45.0,Documentary,4.9,12,middle,7
86011,tt11525468,Horror Nights,Horror Nights,2020.0,89.0,Horror,5.8,22,middle,14
2346,tt0017159,The Adventures of the Three Reporters,Miss Mend,1926.0,250.0,Adventure,6.9,342,high,2
144623,tt4807008,Expect Delays,Expect Delays,2015.0,85.0,Drama,6.5,15,middle,8
36373,tt0095894,Pound Puppies and the Legend of Big Paw,Pound Puppies and the Legend of Big Paw,1988.0,76.0,Comedy,4.7,690,middle,5
14621,tt0042482,Frenchie,Frenchie,1950.0,81.0,Western,6.3,549,middle,26
58732,tt0254494,The Killing Zone,The Killing Zone,1999.0,92.0,Action,5.8,275,middle,0
93920,tt1331300,Crackie,Crackie,2009.0,94.0,Drama,5.5,175,middle,8
125489,tt2512074,"Trust, Greed, Bullets & Bourbon","Trust, Greed, Bullets & Bourbon",2013.0,85.0,Crime,7.2,14,high,6
160384,tt7676320,Until You Untie Me,Hasta que me desates,2017.0,82.0,Romance,6.1,30,middle,20
150910,tt5848862,Sacrilege,Sacrilege,2017.0,96.0,Horror,3.3,341,low,14
89181,tt12273762,Overrun,Overrun,2021.0,105.0,Crime,4.3,3839,middle,6
47756,tt0139858,Diabolic Wedding,Annabelle Lee,1971.0,85.0,Horror,5.2,10,middle,14
35781,tt0094332,The Witches of Eastwick,The Witches of Eastwick,1987.0,118.0,Comedy,6.5,76276,middle,5
153071,tt6176800,The Essence of Forms,L'essence des formes: Robert Bresson deforme les sens,2010.0,46.0,Documentary,7.4,17,high,7
160402,tt7681112,Yours in Sisterhood,Yours in Sisterhood,2018.0,101.0,History,7.3,84,high,13
61700,tt0291832,Crackerjack,Crackerjack,2002.0,92.0,Sport,6.7,3107,middle,22
94970,tt1346307,Recycled Parts,Recycled Parts,2007.0,90.0,Horror,2.9,52,low,14
99770,tt1463158,Big Night,Big Night,2009.0,89.0,Drama,6.2,55,middle,8
26154,tt0068250,God in Heaven... Arizona on Earth,Una bala marcada,1972.0,87.0,Western,5.9,106,middle,26
98641,tt1436036,A Life Ascending,A Life Ascending,2010.0,58.0,Documentary,7.3,21,high,7
7365,tt0028587,Artist and Models,Artists and Models,1937.0,97.0,Comedy,6.0,365,middle,5
112173,tt1876451,Sparkle,Sparkle,2012.0,116.0,Drama,5.7,6618,middle,8
131213,tt2979888,Room of Faith,Inanc Odasi,2013.0,80.0,Drama,3.3,105,low,8
109429,tt17640752,The Return of Tanya Tucker: Featuring Brandi Carlile,The Return of Tanya Tucker: Featuring Brandi Carlile,2022.0,108.0,Documentary,7.3,241,high,7
63832,tt0321458,Bitter Heritage,Bitter Heritage,1979.0,122.0,Mystery,6.6,24,middle,17
92457,tt13051108,The Fallen Bridge,Duan · Qiao,2022.0,120.0,Crime,5.5,180,middle,6
162345,tt8150698,Dead by Dawn,Dead by Dawn,2020.0,85.0,Horror,3.7,267,middle,14
96915,tt1393746,Aftershock,Tang shan da di zhen,2010.0,135.0,History,7.5,9644,high,13
89610,tt12364186,The Wall of Shadows,The Wall of Shadows,2020.0,94.0,Documentary,7.2,137,high,7
45920,tt0125495,Victims of Love,Shuhaddaa el gharam,1944.0,93.81829253746335,Drama,5.9,16,middle,8
88918,tt1220719,Ip Man,Ip Man,2008.0,106.0,Action,8.0,231932,high,0
24827,tt0065146,Love Is a Funny Thing,Un homme qui me plaît,1969.0,115.0,Romance,6.4,724,middle,20
114247,tt1986148,The Clear,The Clear,2011.0,93.81829253746335,Drama,8.3,18,high,8
151162,tt5891136,ILY from 38.000 Ft,I Love You from 38000 Feet,2016.0,102.0,Drama,5.7,210,middle,8
145466,tt4940336,Risen,Risen,2021.0,109.0,Thriller,3.5,2984,middle,24
120666,tt2252114,American Heart,American Heart,2013.0,96.0,Biography,7.1,8,high,4
50806,tt0168631,Innocents,Dark Summer,2000.0,90.0,Crime,4.7,642,middle,6
135987,tt3518152,Necroland,Necroland,2020.0,93.81829253746335,Animation,7.7,20,high,3
52547,tt0185284,Do Not Disturb,Do Not Disturb,1999.0,94.0,Thriller,4.9,2705,middle,24
66594,tt0368580,Asambhav,Asambhav,2004.0,139.0,Adventure,3.8,645,middle,2
16644,tt0046754,The Barefoot Contessa,The Barefoot Contessa,1954.0,128.0,Crime,6.9,12314,high,6
65008,tt0341495,Naked Weapon,Chik loh dak gung,2002.0,92.0,Action,5.5,7992,middle,0
35369,tt0093338,The Kid Brother,Kenny,1987.0,95.0,Biography,6.3,281,middle,4
44441,tt0119373,Inside/Out,Inside/Out,1997.0,115.0,Drama,6.9,91,high,8
155992,tt6745984,Turf War: Lions and Hippos,Turf War: Lions and Hippos,2009.0,46.0,Documentary,7.5,11,high,7
131656,tt3031914,The Last Incubus,Ultimul Zburãtor,2014.0,111.0,Fantasy,4.3,116,middle,10
21674,tt0058024,Einer frisst den anderen,Einer frisst den anderen,1964.0,84.0,Crime,5.4,313,middle,6
3778,tt0021371,Show Girl in Hollywood,Show Girl in Hollywood,1930.0,80.0,Musical,6.1,396,middle,16
140649,tt4154664,Captain Marvel,Captain Marvel,2019.0,123.0,Sci-Fi,6.8,601655,high,21
115206,tt2036339,Bats in the Clocktower,Bats in the Clocktower,2011.0,65.0,Thriller,5.2,28,middle,24
60456,tt0279074,EvenHand,EvenHand,2002.0,92.0,Drama,7.3,483,high,8
16163,tt0045672,A Day to Remember,A Day to Remember,1953.0,92.0,Drama,6.7,269,middle,8
11352,tt0036164,Miss V from Moscow,Miss V from Moscow,1942.0,73.0,Action,5.0,102,middle,0
90492,tt1260365,On the Inside,On the Inside,2011.0,95.0,Thriller,5.2,2153,middle,24
120217,tt2234530,Bratz: Desert Jewelz,Bratz: Desert Jewelz,2012.0,74.0,Animation,4.9,156,middle,3
111690,tt18550182,R.M.N.,R.M.N.,2022.0,125.0,Drama,7.2,4721,high,8
105143,tt1600680,Paris Connections,Paris Connections,2010.0,90.0,Mystery,5.3,98,middle,17
14180,tt0041550,A Kiss in the Dark,A Kiss in the Dark,1949.0,87.0,Comedy,6.1,601,middle,5
46221,tt0127349,Waking the Dead,Waking the Dead,2000.0,105.0,Romance,6.5,7519,middle,20
145606,tt4959276,The Finest Ever,En Güzeli,2015.0,92.0,Comedy,3.5,271,middle,5
37953,tt0100157,Misery,Misery,1990.0,107.0,Thriller,7.8,231326,high,24
131673,tt3033948,Echoes,Echoes,2014.0,93.0,Thriller,4.4,1565,middle,24
93031,tt1315981,A Single Man,A Single Man,2009.0,99.0,Drama,7.5,116931,high,8
139347,tt3949648,Finding the Adolescence,Shishunki gokko,2014.0,90.0,Drama,5.8,76,middle,8
4203,tt0022289,Road to Life,Putyovka v zhizn,1931.0,119.0,Drama,6.9,464,high,8
8716,tt0031107,Blondie Meets the Boss,Blondie Meets the Boss,1939.0,75.0,Comedy,6.7,400,middle,5
